Zip,Latitude,Longitude
17536,39.848034,-76.073774
17555,40.122377,-75.959392
17576,40.037195,-76.19676
17701,41.345044,-76.857248
17737,41.299271,-76.68578
17751,41.153528,-77.54479
17767,41.083874,-77.463161
17810,41.11136,-77.031372
17827,40.75286,-76.968032
17842,40.801316,-77.043454
17857,40.932136,-76.772972
17870,40.817323,-76.888636
17888,40.806775,-76.378479
17931,40.786491,-76.214575
17946,40.810364,-76.256372
17961,40.649699,-76.060949
17978,40.625448,-76.614963
18015,40.585869,-75.367239
18036,40.508879,-75.386005
18052,40.657428,-75.504255
18066,40.664462,-75.7401
18077,40.570065,-75.237115
18091,40.831388,-75.319795
18201,40.949054,-75.955512
18221,41.001778,-75.917333
18235,40.829641,-75.698371
18249,40.987794,-76.116117
18322,40.918523,-75.393279
18333,40.906085,-75.490084
18347,41.138882,-75.560229
18360,40.967295,-75.288001
18415,41.74353,-75.124268
18430,41.756453,-75.472457
18443,41.662927,-75.102094
18456,41.612796,-75.340433
18466,41.196442,-75.394233
18508,41.454947,-75.657937
18612,41.346088,-75.98638
18624,41.060706,-75.646561
18636,41.39141,-76.113651
18657,41.52251,-75.959485
18709,41.285469,-75.896388
18823,41.778326,-75.690124
18834,41.830967,-75.720934
18850,41.854257,-76.462384
18917,40.37692,-75.205948
18940,40.260594,-74.93707
18964,40.30347,-75.337889
19002,40.187217,-75.206876
19014,39.864907,-75.432958
19027,40.073118,-75.124431
19040,40.176879,-75.105595
19056,40.149339,-74.885815
19073,39.983259,-75.429241
19086,39.890636,-75.370038
19107,39.951737,-75.158653
19120,40.034147,-75.119198
19130,39.967935,-75.176073
19140,40.012177,-75.145495
19150,40.072496,-75.171824
19317,39.8608,-75.599381
19345,40.029473,-75.565288
19372,39.998397,-75.758457
19405,40.103552,-75.341022
19440,40.285832,-75.291121
19464,40.258928,-75.615861
19503,40.406752,-75.571779
19519,40.320723,-75.734815
19535,40.34,-75.804034
19547,40.380048,-75.768603
19565,40.342505,-76.08824
19610,40.341535,-75.974921
19713,39.670784,-75.712296
19736,39.802479,-75.675916
19810,39.81878,-75.5064
